smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
COC(=O)[C@H](O)/C(C)=N/NC(N)=O	143830753	KXUARSOMLKXWNB-QKNIHBTKSA-N	189.171	-1.436	50	10	AAGE	
C[C@H](O)C(=O)O[Si](C)(O)O	196470833	GJWAUYCSBMAJMS-VKHMYHEASA-N	166.205	-1.536	50	10	AAGE	
COc1nc(B(O)O)cs1	200991155	IHSTXFGBXLTTDC-UHFFFAOYSA-N	158.975	-1.169	50	10	AAGE	
Cc1cnc(N)cc1B(O)O	238531479	RTUQNHQNJCDRMC-UHFFFAOYSA-N	151.962	-1.348	50	10	AAGE	
N#Cc1cc(N)ncc1B(O)O	238606481	IXOPTCAMPJHXCD-UHFFFAOYSA-N	162.945	-1.785	50	10	AAGE	
CC(=O)N1CSC[C@@H]1C(=O)NN	307199028	ZBPZTSZVZDPWIS-RXMQYKEDSA-N	189.240	-1.102	50	10	AAGE	
CC(=O)NNS(=O)(=O)N(C)C	307755048	CEICDPWSLQVCJT-UHFFFAOYSA-N	181.217	-1.567	50	10	AAGE	
CN1NC[C@@H]2C(=O)N[C@@H](Cl)N[C@H]21	575626288	BKWTVDXHKNRKKM-FKZODXBYSA-N	190.634	-1.380	50	10	AAGE	
N#CC1=C(N2CC[C@@H](O)C2)NC#CN1	885558013	HEBJMNUAGQCYMQ-SSDOTTSWSA-N	190.206	-1.143	50	10	AAGE	
O=C(F)N1C[C@H](O)[C@H](O)[C@H]1CO	1877828309	ZZVRBPJOCZOBEL-MROZADKFSA-N	179.147	-1.526	50	10	AAGE	
NCC1(C(=O)NN)CC(O)C1	1880336829	YRYLCVAMPJSLFL-UHFFFAOYSA-N	159.189	-1.924	50	10	AAGE	
C[C@@H](F)CS(=O)(=O)NCB(O)O	1880685502	AVCPSCAHXPKXHX-SCSAIBSYSA-N	199.012	-1.724	50	10	AAGE	
CS(=O)(=O)CC(=O)NNCCO	1929832069	MLANSPWULZDZPD-UHFFFAOYSA-N	196.228	-2.356	50	10	AAGE	
CN(C)NC(=O)[C@@H](N)[C@@H]1CCOC1	1929928544	ZRAPHXOTRDTQEC-RQJHMYQMSA-N	187.243	-1.057	50	10	AAGE	
CCOC(=O)c1cn(C)c(B(O)O)n1	2241493779	QOPDVTATTIVEDE-UHFFFAOYSA-N	197.987	-1.723	50	10	AAGE	
O=C(CCO)NCC#CB(O)O	2241562538	PMWCSUAGFZTTAT-UHFFFAOYSA-N	170.961	-2.500	50	10	AAGE	
Cc1nn(C)c(B(O)O)c1C(=O)NO	2241583599	ALJXEZDICCKJID-UHFFFAOYSA-N	198.975	-2.473	50	10	AAGE	
NS(=O)(=O)N1CC[C@H](B(O)O)C1	2297008619	MFGKNIRJGHIGMK-BYPYZUCNSA-N	194.021	-2.261	50	10	AAGE	
CCNC(=O)CNC(=O)NN	36779915	OIDCIXKFOVGCJK-UHFFFAOYSA-N	160.177	-1.705	50	10	AAGE	
CC(=O)NNC(=O)[C@H]1CCC(=O)N1	39116948	ZAGIGEFVMRDMKG-RXMQYKEDSA-N	185.183	-1.568	50	10	AAGE	
C[C@H](CC(=O)NN)N(C)CCO	58839121	MQZCYQHIHWFIRG-ZCFIWIBFSA-N	175.232	-1.321	50	10	AAGE	
COC(=O)c1ccc(C(=O)NN)nn1	139737400	RFNCTSMWFDBQRI-UHFFFAOYSA-N	196.166	-1.133	50	10	AAGE	
CN(NC(=O)CC(N)=O)C(N)=O	307972998	IMMYKYGQOMLNJX-UHFFFAOYSA-N	174.160	-2.097	50	10	AAGE	
C[C@@H](O)[C@@H](O)/C=C\C=NNC(N)=O	687728786	SWKXUMHVDGLSRT-AZMZSWLNSA-N	187.199	-1.062	50	10	AAGE	
C[C@H](C(=O)NN)N(C)CC1(O)CC1	1889010681	NZBIGGMTROBBRW-ZCFIWIBFSA-N	187.243	-1.179	50	10	AAGE	
CN(C)CC=CC(=O)NNC=O	1923959117	ZWYYUZCBYGXNJG-UHFFFAOYSA-N	171.200	-1.119	50	10	AAGE	
C[C@H]([C@H](N)[C@@H](O)C#N)S(C)(=O)=O	1952838313	IWXMYGXXLJYVHT-SRQIZXRXSA-N	192.240	-1.369	50	10	AAGE	
NNC(=O)C(=O)N1CC(O)(CO)C1	1954070321	XOQUJMGJJKJIIY-UHFFFAOYSA-N	189.171	-3.458	50	10	AAGE	
CCn1ncc(C(=O)NNCCO)n1	1956951159	RDPWVPDTGSOOGL-UHFFFAOYSA-N	199.214	-1.475	50	10	AAGE	
CCON(C)c1ncncc1B(O)O	1956956576	ATVRXZZJSNHJAB-UHFFFAOYSA-N	197.003	-1.456	50	10	AAGE	
COC(=O)c1nn(C)cc1B(O)O	1962712731	KTJHPNZEVBSGHG-UHFFFAOYSA-N	183.960	-2.114	50	10	AAGE	
OB(O)c1nccn1C(F)F	2241336976	MIGKCXRGGKWSCM-UHFFFAOYSA-N	161.904	-1.042	50	10	AAGE	
C[C@H]1C[C@@H]1NC(=O)C#CB(O)O	2241468067	GUEXUTHXGZVMOT-WDSKDSINSA-N	166.973	-1.474	50	10	AAGE	
NCC1(O)CN(C(=O)C#CB(O)O)C1	2241468158	IKCKIMONQMAOHC-UHFFFAOYSA-N	197.987	-3.466	50	10	AAGE	
COc1n[nH]cc1C(=O)NCB(O)O	2241549962	QQIBVCNYPADHBC-UHFFFAOYSA-N	198.975	-1.840	50	10	AAGE	
N#CC1(O)CCN(C[C@H](N)CO)CC1	2241795356	DPKBWJBPZUVYGN-QMMMGPOBSA-N	199.254	-1.344	50	10	AAGE	
COC(=O)NNC(N)=O	14442113	PNARXUZBWHVPNP-UHFFFAOYSA-N	133.107	-1.074	50	10	AAGE	
Cn1nccc1C(=O)NNC(N)=O	70044675	HTZKYNTZZPEDDI-UHFFFAOYSA-N	183.171	-1.267	50	10	AAGE	
CC(=O)NNC(=N)CN	104640603	LHZWWAMDHAQWNW-UHFFFAOYSA-N	130.151	-1.437	50	10	AAGE	
O=C1O[C@H]([C@H](O)CCl)[C@@H](O)[C@@H]1O	110342651	NLGDTEKLDFSSIH-MGCNEYSASA-N	196.586	-1.767	50	10	AAGE	
OB(O)c1cncc(C2COC2)c1	221936920	WKRFRMIVOJXMEZ-UHFFFAOYSA-N	178.984	-1.125	50	10	AAGE	
NC(=O)NNC(=O)c1cc[nH]c(=O)c1	236183262	XMNXHUDCUAVCBF-UHFFFAOYSA-N	196.166	-1.312	50	10	AAGE	
O=CNNc1nccc(O)n1	238710622	SJAKPAJAJRXTOS-UHFFFAOYSA-N	154.129	-0.745	50	10	AAGE	
O=C1O[C@H]2[C@H](O[C@@H](O)[C@H]2O)[C@@H]1Cl	306298384	JVPLUSMMESVGIN-VCSGLWQLSA-N	194.570	-1.403	50	10	AAGE	
NNC(=O)[C@H]1CN[C@H](O)CC1=O	307353720	CUNOQZMIRMPAAO-WVZVXSGGSA-N	173.172	-2.527	50	10	AAGE	
NC(=O)NNCCC[C@H](N)C(=O)O	379349530	PEWZEOGLRHLMPG-BYPYZUCNSA-N	190.203	-1.649	50	10	AAGE	
CC1=C=C(B(O)O)N(C)N1	575624091	DGGYFSUZZFEISU-UHFFFAOYSA-N	139.951	-1.165	50	10	AAGE	
NNC(=O)C(=O)N1CC[C@H]1C(N)=O	757144849	JOJOCOPLKGIEPM-VKHMYHEASA-N	186.171	-2.938	50	10	AAGE	
